Producto;cantidad ;Costo;
Aceite oliosoya X 500;24;3073;
Aceite oliosoya X 1000;24;5947;
Aceite oliosoya X 2000;6;12192;
Aceite oliosoya X 3000;6;17346;
Aceite oliosoya X 5000;6;27754;
Aceite Soy Sabor x 500;10;2775;
Aceite Soy Sabor x 1000;24;4460;
Aceite Soy Sabor x 2000;6;10507;
Aceite Soy Sabor x 3000;6;15364;
Aceite Vivi x 500;24;2974;
Aceite Vivi x 1000;48;5352;
Aceite Vivi x 2000;6;10408;
Aceite Vivi x 3000;6;15364;
Aceite Vivi x 5000;6;26762;
Aceite Gourmet x 2000;6;20815;
Aceite Gourmet x 3000;6;34692;
Aceite Canola Ligth x 1000;3;16355;
Aceite Canola Ligth x 2000;12;29736;
Mantequilla Campi x125;6;2082;
Mantequilla Campi x 250;8;4163;
Mantequilla Campi x 500;6;7236;
Mantequilla Campi x 1000;2;10408;
Mantequilla Rama x 1000 ;2;12390;
Mantequilla Rama x 500 ;5;6245;
Mantequilla Rama x 250 ;6;5452;
Mantequilla Rama x 125 ;6;1784;
Mantequilla Practis x 400;6;5154;
Mantequilla Canola life x 227;4;4361;
Mantequilla Canola life x 454;4;8128;
Mantequilla Canola life x 907;4;12390;
Mantequilla La Buena x 250;24;3271;
Mantequilla La Buena x 125;24;1685;
Mntequilla La Fina x 250;12;3172;
Mntequilla La Fina x 125;24;1784;
Mntequilla La Fina x 500;12;6046;
Mantequilla la Preferida x250;24;1982;
Salsa de Tomate Fruco frasco x 250;6;3172;
Salsa de Tomate Fruco Doy Pack x 200;6;2974;
Salsa de Tomate Fruco Doy Pack x 90;12;1090;
Mayonesa Fruco Doy Pack x 200;6;3469;
Mayonesa Fruco Doy Pack x 90;12;1090;
Salsa Rosada Fruco x 180;6;4659;
Salsa Rosada Fruco x 400;6;8921;
Salsa Rosada Fruco x 90;12;1090;
Salsa Rosada la Consatancia x 200;12;3469;
Salsa de Tomate la Constancia x 500;6;5352;
Salsa de Tomate la Constancia x 200;12;1685;
Mayonesa La Constancia x 480 ;6;6740;
Mayonesa La Constancia x 200;6;1982;
Salsa Mostaneza la Constancia x 200;12;4460;
Salsa Mostaza la Constancia x 200;6;2974;
Sardina la Española ;12;3767;
Sardina Van Camps en Agua ;24;4262;
Sardina Van Camps en Aceite ;10;5154;
Atun Van Camps x3 ;10;10903;
Atun Isabel x 3;10;10408;
Ensalada vegetales Zenú;4;3568;
Frijol enlatado Zenú;4;3767;
Chile con Carne Zenú;3;6938;
Frijoles Antioqueños Zenú x 380;4;4262;
Frijoles Antioqueños Zenú x 580;6;5848;
Maiz tierno Zenú x 248;6;3271;
Maiz tierno Zenú x 432;6;4956;
Arveja con zanahoria Zenú x 580 ;6;3667;
Arveja con zanahoria Zenú x 300;6;2280;
Salsa de tomate Bary x 400;24;2676;
Sardina Aburra x 425;24;4857;
Sardina Soberana x 425;24;4956;
