Producto;cantidad ;Precio de venta;Costo
Aceite oliosoya X 500;90;3100;3073
Aceite oliosoya X 1000;30;6000;5947
Aceite oliosoya X 2000;12;12300;12192
Aceite oliosoya X 3000;8;17500;17346
Aceite oliosoya X 5000;3;28000;27754
Aceite Soy Sabor x 500;20;2800;2775
Aceite Soy Sabor x 1000;25;4500;4460
Aceite Soy Sabor x 2000;6;10600;10507
Aceite Soy Sabor x 3000;7;15500;15364
Aceite Vivi x 500;35;3000;2974
Aceite Vivi x 1000;7;5400;5352
Aceite Vivi x 2000;8;10500;10408
Aceite Vivi x 3000;4;15500;15364
Aceite Vivi x 5000;4;27000;26762
Aceite Gourmet x 2000;3;21000;20815
Aceite Gourmet x 3000;8;35000;34692
Aceite Canola Ligth x 1000;3;16500;16355
Aceite Canola Ligth x 2000;3;30000;29736
Mantequilla Campi x125;12;2100;2082
Mantequilla Campi x 250;15;4200;4163
Mantequilla Campi x 500;12;7300;7236
Mantequilla Campi x 1000;8;10500;10408
Mantequilla Rama x 1000 ;5;12500;12390
Mantequilla Rama x 500 ;10;6300;6245
Mantequilla Rama x 250 ;16;5500;5452
Mantequilla Rama x 125 ;7;1800;1784
Mantequilla Practis x 200;3;2750;2726
Mantequilla Practis x 400;10;5200;5154
Mantequilla Canola life x 227;5;4400;4361
Mantequilla Canola life x 454;4;8200;8128
Mantequilla Canola life x 907;3;12500;12390
Mantequilla La Buena x 250;56;3300;3271
Mantequilla La Buena x 125;58;1700;1685
Mntequilla La Fina x 250;18;3200;3172
Mntequilla La Fina x 125;35;1800;1784
Mntequilla La Fina x 500;21;6100;6046
Mantequilla la Preferida x250;31;2000;1982
Vinagreta Bary x 335;7;4000;3965
Vinagreta Bary x 200;2;2000;1982
Salsa BBQ Bary x200;6;2500;2478
Salsa Chimichurri  Bary x 200;8;2300;2280
Pasta de Ajo el Rey x 250;3;4600;4560
Pasta de Ajo el Rey x 130;2;3200;3172
Pasta de Cebolla el Rey x 240;2;5000;4956
Salsa Ají la Consantacia x 100 ;14;2300;2280
Salsa Ají la Consantacia x 165;13;3400;3370
Salsa de Ajo el Fortín x 165;14;2600;2577
Salsa para Carnes el Frotín x165;5;2500;2478
Salsa de Humo el Frotín x 165;12;2000;1982
Salsa Inglesa  el Frotín x 165;8;2700;2676
Salsa de Soya el Frotín x 165;6;2400;2379
Salsa China  el Frotín x 165;6;2400;2379
Salsa China Fruco x 150 ;3;4000;3965
Salsa Negra Fruco x 150 ;4;3950;3915
Salsa para Carnes Fruco x 150 ;7;3950;3915
Salsa Inglesa Fruco x 150 ;4;4000;3965
Salsa Soya  Fruco x 150 ;2;3950;3915
Salsa de Tomate Fruco frasco x 250;6;3200;3172
Salsa de Tomate Fruco frasco x 400;4;4800;4758
Salsa de Tomate Fruco frasco x 650;4;6800;6740
Salsa de Tomate Fruco Doy Pack x 1000;4;9500;9416
Salsa de Tomate Fruco Doy Pack x 400;8;5200;5154
Salsa de Tomate Fruco Doy Pack x 200;13;3000;2974
Salsa de Tomate Fruco Doy Pack x 90;21;1100;1090
Mayonesa Fruco Doy Pack x 1000;3;11500;11399
Mayonesa Fruco Doy Pack x 400;4;6500;6443
Mayonesa Fruco Doy Pack x 200;12;3500;3469
Mayonesa Fruco Doy Pack x 90;20;1100;1090
Salsa Rosada Fruco x 180;4;4700;4659
Salsa Rosada Fruco x 400;7;9000;8921
Salsa Rosada Fruco x 90;22;1100;1090
Pasta de tomate Fruco x 200 ;7;4300;4262
Mostaza Fruco x 200 ;6;3900;3866
Mayodulce Fruco x 200;1;5000;4956
Salsa Tártara Fruco x 200 ;1;5000;4956
Salsa Rosada la Consatancia x 1000;4;11600;11498
Salsa Rosada la Consatancia x 200;6;3500;3469
Salsa de Tomate la Constancia x 1000;3;7600;7533
Salsa de Tomate la Constancia x 500;5;5400;5352
Salsa de Tomate la Constancia x 200;14;1700;1685
Mayonesa La Constancia x 480 ;8;6800;6740
Mayonesa La Constancia x 200;8;2000;1982
Salsa de Ciruela la Constancia x 200;8;3200;3172
Salsa de Piña la Constancia x 200;4;3200;3172
Salsa Mostaneza la Constancia x 200;3;4500;4460
Salsa Mostaza la Constancia x 200;6;3000;2974
Salsa BBQ la Constancia x200;12;3200;3172
Salsa Finas Hinerbas Doria x 200;8;3500;3469
